0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:49:16 +0900] "GET /StudyJSP/jsp12_jstl/test3_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:49:24 +0900] "GET /StudyJSP/jsp12_jstl/test3_result.jsp?name=%EC%9D%B4%EC%88%9C%EC%8B%A0&age=20 HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:49:29 +0900] "GET /StudyJSP/jsp12_jstl/test3_result.jsp?name=%EA%B0%95%EA%B0%90%EC%B0%AC&age=20 HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:18:48 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:23:06 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:23:41 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:27:47 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:27:54 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:27:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:29:35 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:29:53 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:30:38 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:35:07 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:35:28 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:37:52 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:38:10 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:38:20 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:42:24 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:45:14 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:47:39 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 500 5668
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:48:34 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 500 5653
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:48:35 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 500 5653
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:48:35 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 500 5653
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:48:35 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 500 5653
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:48:36 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 500 5653
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:48:36 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 500 5653
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:48:36 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 500 5653
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:48:36 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 500 5653
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:48:36 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 500 5653
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:48:36 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 500 5653
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:48:36 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 500 5653
0:0:0:0:0:0:0:1 - - [21/Apr/2023:12:48:51 +0900] "GET /StudyJSP/jsp12_jstl/test4.jsp HTTP/1.1" 200 794
